"year","biggest_event","darkest_joke"
"2024","""As of October 2023, the most anticipated event in 2024 is the Paris Summer Olympics, scheduled from July 26 to August 11. However, no events beyond October 2023 can be confirmed.""","""In 2024, we finally realized climate change wasn’t the problem—it was the solution… to overpopulation."""
"2023","""The Titan submersible implosion during its expedition to the Titanic wreck in June 2023, which drew global attention due to the multinational rescue effort and tragic outcome.""","""2023 is the year we realized 'history repeats itself' wasn't a warning—it was a subscription service, and every renewal comes with a higher body count and a lower chance of cancellation."""
"2022","""The Russian invasion of Ukraine, which began in February 2022, marked the largest conventional military attack in Europe since World War II, triggering global geopolitical, economic, and humanitarian crises.""","""2022 was the year we all missed the lockdowns because the outside world started feeling like a discount version of a Black Mirror episode—complete with apocalyptic weather, a side of nuclear threats, and inflation so high even the Four Horsemen asked for a raise."""
"2021","""The January 6th United States Capitol attack, where a mob stormed the Capitol building to overturn the 2020 presidential election results.""","""2021 was the year we learned that 'getting the vaccine' was just the free trial, and now we're stuck paying for the booster subscription every time a new variant drops."""
"2020","""The COVID-19 pandemic, caused by the global spread of the novel coronavirus (SARS-CoV-2), dominated 2020 as the most significant global event, leading to widespread health crises, economic disruptions, lockdowns, and societal changes worldwide.""","""2020 was going to be my year to ‘glow up,’ but instead, the universe chose to ‘burn down’ — starting with Australia, then my motivation, and finally my ability to distinguish between a pandemic, a protest, and a murder hornet-themed TikTok trend."""
"2019","""The 2019 Hong Kong protests against the extradition bill, which sparked widespread demonstrations and international attention due to concerns over civil liberties and autonomy.""","""2019 was the year the planet decided to go for the 'if we all burn together, maybe we'll finally agree on the thermostat' approach."""
"2018","""The rescue of 12 boys and their soccer coach from a flooded cave in Thailand, known as the Tham Luang cave rescue, captured global attention in July 2018.""","""In 2018, the Thai soccer team trapped in the cave learned the hard way that even Mother Nature’s escape rooms have a darker difficulty setting—especially when your oxygen timer is just Elon Musk’s Twitter feed."""
"2017","""The #MeToo movement gained global momentum as a response to widespread sexual harassment and assault allegations, notably against Harvey Weinstein, sparking a worldwide conversation on gender inequality and abuse of power.""","""The 2017 solar eclipse was nature’s way of reminding us that even the sun needed a minute of darkness to cope with the fact that we all spent the year obsessing over fidget spinners instead of, say, preventing existential crises."""
"2016","""The election of Donald Trump as President of the United States""","""2016 was the year the Grim Reaper took a sabbatical because even he couldn't keep up with the deadlines—turns out, the U.S. election did his job for free."""
"2015","""The Paris Agreement on climate change was adopted by 196 parties at COP21 in Paris, marking a historic global accord to combat climate change.""","""2015: When the only thing refugees and climate change had in common was everyone pretending they weren’t racing toward the same damn collapse."""
"2014","""The annexation of Crimea by the Russian Federation, following the Euromaidan protests in Ukraine and the subsequent political crisis.""","""2014 was the year we realized the Ice Bucket Challenge was just Ebola’s way of getting us to waterboard ourselves."""
"2013","""The Boston Marathon bombing on April 15, 2013, which killed three people and injured hundreds, followed by a widespread manhunt and shutdown of the Boston area.""","""2013 was the year we learned that even marathons aren't safe from 'explosive finishes'—some runners really took 'going out with a bang' too literally."""
